timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000000,0.001755,-0.992038,0.011339,0.008545,0.007438,0.014894
0.026056,0.012399,-0.976883,0.002286,-0.000820,0.002816,-0.020109
0.052429,-0.000947,-1.008111,-0.007567,-0.006209,-0.005788,0.000685
0.071111,0.009131,-0.994256,-0.010349,0.001985,-0.004194,0.004535
0.103071,-0.006177,-1.004575,0.018740,-0.004089,0.000364,-0.005813
0.126020,-0.009954,-0.994906,-0.019411,0.002391,-0.005511,-0.001855
0.153132,-0.001481,-0.982591,-0.014856,-0.007711,-0.013115,0.013196
0.176090,0.015098,-1.021827,0.000810,-0.007347,0.010866,-0.003201
0.204648,-0.011946,-0.999445,-0.002750,-0.000152,0.000893,-0.008618
0.221249,0.011026,-0.995966,0.002143,-0.016927,0.007886,0.002205
0.257104,-0.005230,-0.993834,-0.009437,-0.016367,-0.007226,-0.006365
0.279810,-0.006410,-1.006722,0.006932,0.010887,0.005134,-0.000188
0.297600,0.028394,-0.999982,0.023156,0.011034,0.004073,-0.007357
0.327641,-0.010907,-1.006368,0.006376,-0.013952,0.009714,-0.017120
0.351779,0.008591,-0.990060,0.019063,0.011864,-0.017992,-0.006687
0.368017,-0.001130,-0.986173,0.003150,0.012110,0.008756,0.011591
0.402381,-0.032554,-1.011047,-0.006104,-0.014996,-0.003172,-0.000741
0.422658,0.002693,-0.992768,-0.003074,-0.004293,-0.006067,0.002764
0.449000,0.017088,-1.010748,-0.000072,-0.000100,-0.009771,-0.005886
0.472590,0.012394,-1.012580,0.015278,-0.002868,-0.000528,-0.002822
0.498288,0.012794,-1.001052,0.000279,-0.015539,0.000679,0.004814
0.525287,0.000329,-0.998852,0.015161,0.015542,-0.005245,0.008973
0.550387,0.007550,-1.015605,-0.018248,-0.005631,0.012553,-0.001329
0.568763,0.008582,-1.030604,-0.018681,0.001035,-0.002073,0.001613
0.598925,-0.006036,-0.999478,0.016310,0.001901,-0.013765,0.006733
0.619621,0.003377,-0.957156,0.002664,-0.010068,-0.001696,0.009558
0.644917,0.011500,-0.987084,-0.001195,-0.002041,-0.006415,0.016984
0.673612,0.012630,-0.992131,0.002895,0.014191,0.014384,0.010719
0.703421,-0.006373,-1.004401,0.009601,0.005220,0.002402,-0.014156
0.727523,0.000774,-0.994451,0.004893,-0.009020,-0.008231,0.011122
0.747581,0.004535,-0.999107,0.007095,0.024440,0.008279,-0.001704
0.772158,0.011151,-0.982825,0.006053,0.014081,-0.000360,-0.002041
0.796690,-0.005534,-1.007380,0.007696,-0.000407,0.011453,0.012807
0.825571,-0.017043,-1.005495,0.012518,0.003293,-0.010143,0.008835
0.853747,-0.002742,-1.007098,0.014815,-0.007706,-0.009020,-0.005608
0.875072,-0.030545,-1.000189,-0.005414,-0.010693,-0.007161,0.017540
0.902771,-0.004639,-0.988415,0.018008,-0.009805,-0.000714,-0.015118
0.926262,0.014770,-0.991832,0.003962,-0.008210,-0.003674,0.001095
0.956017,-0.001696,-0.999235,-0.019334,0.001049,-0.000741,-0.007119
0.966973,-0.005038,-0.992140,-0.001372,0.014907,0.007163,-0.005495
0.991476,0.011085,-1.017872,-0.006657,-0.002411,-0.004557,-0.000228
